product_id,category_code,style_name,body_tone_code,season,status,line_type,popularity_tier,launch_date
NQ-OUT-NAT-003,OUT,NAT 드롭숄더 아우터,NAT,Y2SS,판매중,BASIC,HERO,2025-03-01
NQ-OUT-STR-007,OUT,STR 숏패딩,STR,Y2SS,판매중,BASIC,NICHE,2025-03-01
NQ-OUT-WAV-008,OUT,WAV 숏패딩,WAV,Y2SS,판매중,BASIC,NICHE,2025-03-01
NQ-OUT-NAT-009,OUT,NAT 숏패딩,NAT,Y2SS,판매중,BASIC,NICHE,2025-03-01
NQ-OUT-STR-004,OUT,STR 롱 트렌치코트,STR,Y2SS,판매중,BASIC,STEADY,2025-03-01
NQ-OUT-WAV-005,OUT,WAV 롱 트렌치코트,WAV,Y2SS,판매중,BASIC,STEADY,2025-03-01
NQ-OUT-NAT-006,OUT,NAT 롱 트렌치코트,NAT,Y2SS,판매중,BASIC,STEADY,2025-03-01
TRD-OUT-01-STR-001,OUT,액티브 반집업 아우터,STR,Y2SS,단종,TREND,STEADY,2025-03-01
TRD-OUT-01-WAV-002,OUT,액티브 반집업 아우터,WAV,Y2SS,단종,TREND,STEADY,2025-03-01
TRD-OUT-01-NAT-003,OUT,액티브 반집업 아우터,NAT,Y2SS,단종,TREND,STEADY,2025-03-01
TRD-OUT-02-STR-001,OUT,뉴트럴 플리스 아우터(그래놀라코어),STR,Y2FW,단종,TREND,STEADY,2025-09-01
TRD-OUT-02-WAV-002,OUT,뉴트럴 플리스 아우터(그래놀라코어),WAV,Y2FW,단종,TREND,STEADY,2025-09-01
TRD-OUT-02-NAT-003,OUT,뉴트럴 플리스 아우터(그래놀라코어),NAT,Y2FW,단종,TREND,STEADY,2025-09-01
TRD-OUT-03-STR-001,OUT,쿼터집 후드,STR,Y3SS,판매중,TREND,STEADY,2026-03-01
TRD-OUT-03-WAV-002,OUT,쿼터집 후드,WAV,Y3SS,판매중,TREND,STEADY,2026-03-01
TRD-OUT-03-NAT-003,OUT,쿼터집 후드,NAT,Y3SS,판매중,TREND,STEADY,2026-03-01
NQ-PNT-5LT-001,PNT,5LT 5-Length 슬랙스,5LT,Y1SS,판매중,BASIC,HERO,2024-03-01
NQ-PNT-PLT-002,PNT,PLT 5-Length 슬랙스,PLT,Y1SS,판매중,BASIC,HERO,2024-03-01
NQ-PNT-5LT-007,PNT,5LT 조거 팬츠,5LT,Y1SS,판매중,BASIC,NICHE,2024-03-01
NQ-PNT-PLT-008,PNT,PLT 조거 팬츠,PLT,Y1SS,판매중,BASIC,NICHE,2024-03-01
NQ-PNT-5LT-003,PNT,5LT 핀턱 와이드,5LT,Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-PNT-PLT-004,PNT,PLT 핀턱 와이드,PLT,Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-PNT-5LT-005,PNT,5LT 테이퍼드 데님,5LT,Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-PNT-PLT-006,PNT,PLT 테이퍼드 데님,PLT,Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-TOP-STR-001,TOP,STR 스퀘어라인 기본티,STR,Y1SS,판매중,BASIC,HERO,2024-03-01
NQ-TOP-WAV-002,TOP,WAV 스퀘어라인 기본티,WAV,Y1SS,판매중,BASIC,HERO,2024-03-01
NQ-TOP-NAT-003,TOP,NAT 스퀘어라인 기본티,NAT,Y1SS,판매중,BASIC,HERO,2024-03-01
NQ-TOP-STR-010,TOP,STR 오버사이즈 맨투맨,STR,Y1SS,판매중,BASIC,NICHE,2024-03-01
NQ-TOP-WAV-011,TOP,WAV 오버사이즈 맨투맨,WAV,Y1SS,판매중,BASIC,NICHE,2024-03-01
NQ-TOP-NAT-012,TOP,NAT 오버사이즈 맨투맨,NAT,Y1SS,판매중,BASIC,NICHE,2024-03-01
NQ-TOP-STR-013,TOP,STR 집업 후드,STR,Y1SS,판매중,BASIC,NICHE,2024-03-01
NQ-TOP-WAV-014,TOP,WAV 집업 후드,WAV,Y1SS,판매중,BASIC,NICHE,2024-03-01
NQ-TOP-NAT-015,TOP,NAT 집업 후드,NAT,Y1SS,판매중,BASIC,NICHE,2024-03-01
NQ-TOP-STR-004,TOP,STR 브이넥 니트,STR,Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-TOP-WAV-005,TOP,WAV 브이넥 니트,WAV,Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-TOP-NAT-006,TOP,NAT 브이넥 니트,NAT,Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-TOP-STR-007,TOP,STR 포켓 셔츠,STR,Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-TOP-WAV-008,TOP,WAV 포켓 셔츠,WAV,Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-TOP-NAT-009,TOP,NAT 포켓 셔츠,NAT,Y1SS,판매중,BASIC,STEADY,2024-03-01
TRD-TOP-01-STR-001,TOP,원숄더 니트탑,STR,Y2FW,단종,TREND,STEADY,2025-09-01
TRD-TOP-01-WAV-002,TOP,원숄더 니트탑,WAV,Y2FW,단종,TREND,STEADY,2025-09-01
TRD-TOP-01-NAT-003,TOP,원숄더 니트탑,NAT,Y2FW,단종,TREND,STEADY,2025-09-01
